AI System,Organization,System Type,ARC-AGI-1,ARC-AGI-2,Cost/Task,Code / Paper,ARC_AGI_1,ARC_AGI_2,Cost
J. Berman (2025),Bespoke,Refinement,79.6%,29.4%,$30.40,💻,79.6,29.4,30.4
E. Pang (2025),Bespoke,Refinement,77.1%,26.0%,$3.97,💻,77.1,26.0,3.97
GPT-5 Pro,OpenAI,CoT,70.2%,18.3%,$7.14,📄,70.2,18.3,7.14
Grok 4 (Thinking),xAI,CoT,66.7%,16.0%,$2.17,📄,66.7,16.0,2.17
Claude Sonnet 4.5 (Thinking 32K),Anthropic,CoT,63.7%,13.6%,$0.759,📄,63.7,13.6,0.759
GPT-5 (High),OpenAI,CoT,65.7%,9.9%,$0.730,—,65.7,9.9,0.73
Claude Opus 4 (Thinking 16K),Anthropic,CoT,35.7%,8.6%,$1.93,📄,35.7,8.6,1.93
GPT-5 (Medium),OpenAI,CoT,56.2%,7.5%,$0.449,—,56.2,7.5,0.449
Claude Sonnet 4.5 (Thinking 8K),Anthropic,CoT,46.5%,6.9%,$0.235,📄,46.5,6.9,0.235
Claude Sonnet 4.5 (Thinking 16K),Anthropic,CoT,48.3%,6.9%,$0.350,📄,48.3,6.9,0.35
o3 (High),OpenAI,CoT,60.8%,6.5%,$0.834,—,60.8,6.5,0.834
Tiny Recursion Model (TRM),Bespoke,Refinement,40.0%,6.3%,$2.10,📄💻,40.0,6.3,2.1
o4-mini (High),OpenAI,CoT,58.7%,6.1%,$0.856,—,58.7,6.1,0.856
Claude Sonnet 4 (Thinking 16K),Anthropic,CoT,40.0%,5.9%,$0.486,📄,40.0,5.9,0.486
Claude Sonnet 4.5 (Thinking 1K),Anthropic,CoT,31.0%,5.8%,$0.142,📄,31.0,5.8,0.142
Grok 4 (Fast Reasoning),xAI,CoT,48.5%,5.3%,$0.061,📄,48.5,5.3,0.061
o3-Pro (High),OpenAI,CoT + Synthesis,59.3%,4.9%,$7.55,📄,59.3,4.9,7.55
Gemini 2.5 Pro (Thinking 32K),Google,CoT,37.0%,4.9%,$0.757,📄,37.0,4.9,0.757
